cv_fold,vmse,vr2
0,0.5367614885321114,0.7061985528906821
1,0.4998886594912723,0.7261686989855987
2,0.5506227027720649,0.7275317529851074
3,0.49008239795168396,0.7570858971430693
4,0.517623407912485,0.7388779710707627
